id_aluno,horas_estudo_semana,frequencia_percentual,atividades_entregues,media_exercicios,participacao_aulas,acessos_plataforma_semana,faltas_mes,situacao_final
A124,10.4,84.6,9,4.6,4,10,3,Desempenho_satisfatorio
A125,0.6,86.4,9,2.8,3,2,2,Precisa_atencao
A126,5.9,80.0,6,4.0,5,5,3,Precisa_atencao
A127,1.7,91.6,8,3.1,4,4,0,Precisa_atencao
A128,7.0,87.9,10,5.4,5,7,2,Desempenho_satisfatorio
A129,9.0,93.0,10,5.7,8,12,3,Desempenho_satisfatorio
A130,6.9,80.5,7,4.2,7,12,5,Precisa_atencao
A131,7.4,93.5,10,8.4,7,4,0,Desempenho_satisfatorio
A132,7.5,82.8,7,6.1,8,5,3,Desempenho_satisfatorio
A133,0.5,56.5,3,1.5,0,3,8,Precisa_atencao
A134,,91.2,10,6.3,7,10,0,Desempenho_satisfatorio
A135,5.1,100.0,10,5.0,5,5,0,Desempenho_satisfatorio
A136,6.9,82.2,8,3.9,0,12,3,Precisa_atencao
A137,2.9,75.4,5,3.7,4,4,6,Precisa_atencao
A138,3.1,83.1,7,2.4,3,2,3,Precisa_atencao
A139,7.4,79.9,6,5.5,8,13,5,Precisa_atencao
A140,6.0,76.1,5,3.7,7,4,4,Desempenho_satisfatorio
A141,8.9,92.2,9,9.4,9,12,1,Desempenho_satisfatorio
A142,2.7,83.2,5,2.1,5,1,1,Precisa_atencao
A143,8.8,80.3,9,5.6,5,12,3,Desempenho_satisfatorio
A144,8.6,84.8,10,5.0,6,6,2,Desempenho_satisfatorio
A145,6.1,91.5,9,6.2,5,3,2,Desempenho_satisfatorio
A146,6.2,83.4,9,6.9,5,9,3,Desempenho_satisfatorio
A147,2.8,82.8,9,7.3,8,4,2,Desempenho_satisfatorio
A148,5.7,82.1,10,6.2,7,5,4,Desempenho_satisfatorio
A149,6.6,81.7,9,6.0,5,10,4,Desempenho_satisfatorio
A150,11.1,82.4,9,5.8,5,16,3,Desempenho_satisfatorio
A151,8.8,92.3,8,6.4,6,13,2,Desempenho_satisfatorio
A152,6.0,91.9,10,7.4,8,8,0,Desempenho_satisfatorio
A153,5.3,88.3,9,4.3,4,10,3,Desempenho_satisfatorio
A154,10.6,58.9,7,4.3,4,12,7,Precisa_atencao
A155,12.6,74.4,8,7.1,6,17,3,Desempenho_satisfatorio
A156,5.5,89.3,10,6.9,6,7,2,Desempenho_satisfatorio
A157,11.2,83.2,9,7.1,6,10,3,Desempenho_satisfatorio
A158,7.5,87.4,8,5.6,8,8,2,Desempenho_satisfatorio
A159,7.0,76.3,7,4.7,5,2,4,Desempenho_satisfatorio
A160,0.7,64.6,3,1.8,8,,6,Precisa_atencao
A161,12.4,70.6,5,4.8,6,11,3,Precisa_atencao
A162,4.5,76.4,3,1.9,5,10,5,Precisa_atencao
A163,1.0,75.6,8,5.2,5,6,5,Precisa_atencao
A164,10.5,74.7,5,5.9,3,12,5,Precisa_atencao
A165,13.2,76.0,7,5.5,0,13,4,Precisa_atencao
A166,9.3,83.0,8,4.6,9,11,4,Precisa_atencao
A167,8.6,60.7,3,0.9,7,4,6,Precisa_atencao
A168,5.5,71.0,10,7.8,5,4,5,Desempenho_satisfatorio
A169,11.2,80.9,10,8.8,7,15,2,Desempenho_satisfatorio
A170,7.9,79.9,5,4.9,5,5,4,Precisa_atencao
A171,1.6,93.7,8,4.2,7,7,0,Precisa_atencao
A172,2.6,96.7,7,5.8,5,6,2,Precisa_atencao
A173,3.7,87.0,8,7.3,7,9,3,Desempenho_satisfatorio
A174,6.5,67.2,5,5.9,5,7,5,Precisa_atencao
A175,3.1,77.7,8,6.3,5,4,3,Desempenho_satisfatorio
A176,9.5,94.5,10,5.3,7,10,0,Desempenho_satisfatorio
A177,4.5,77.2,10,6.3,6,10,4,Desempenho_satisfatorio
A178,11.5,100.0,9,6.8,5,13,0,Desempenho_satisfatorio
A179,1.0,78.0,6,0.2,5,1,4,Precisa_atencao
A180,8.9,73.3,8,7.0,5,14,5,Desempenho_satisfatorio
